编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
16,二级评论,想象之中___-,28389969,明天的木木啊,12173684,回复 @想象之中___- :不出血的话伤口就开始慢慢愈合了，初期多注意,2021-12-26 08:59,0
17,一级评论,up主,up主,花卷山田菌丶,16318305,加油,2021-12-25 07:03,0
18,一级评论,up主,up主,哈尼多多指教,447417568,小姑娘祝你早日恢复健康。,2021-12-24 21:41,0
18,二级评论,哈尼多多指教,447417568,明天的木木啊,12173684,谢谢(｀・ω・´),2021-12-24 22:27,0
19,一级评论,up主,up主,迪米米米,254031589,小姐姐加油！,2021-12-24 19:49,0
19,二级评论,迪米米米,254031589,明天的木木啊,12173684,嗯嗯！,2021-12-24 22:27,0
20,一级评论,up主,up主,yearn星空,521365689,总之，现在癌症都像感冒一样平常了，而且可怕的年轻化、幼儿化,2021-12-24 17:49,0
20,二级评论,yearn星空,521365689,明天的木木啊,12173684,是的呀,2021-12-24 17:51,0
21,一级评论,up主,up主,皇飒之伤,53123553,祝你早日康复，加油,2021-12-24 13:45,0
21,二级评论,皇飒之伤,53123553,明天的木木啊,12173684,谢谢,2021-12-24 17:40,0
22,一级评论,up主,up主,Lllllllzyh,42831013,愿健康平安 早日康复,2021-12-23 20:59,0
23,一级评论,up主,up主,一人投球九人慌,695305559,好像留置针一样的结构,2021-12-23 20:25,0
24,一级评论,up主,up主,b站喜爱删评论,493344795,为什么这个要这么长啊，46cm。感觉有点像漂浮导管实验,2021-12-23 19:11,0
25,一级评论,up主,up主,改昵称已存在捏,545148508,早日康复鸭,2021-12-23 03:29,0
25,二级评论,改昵称已存在捏,545148508,明天的木木啊,12173684,嗯嗯,2021-12-23 05:16,0
26,一级评论,up主,up主,koriss,221740161,加油啊！坚强的人！两个币呈上,2021-12-22 16:02,0
26,二级评论,koriss,221740161,明天的木木啊,12173684,谢谢(｀・ω・´),2021-12-22 16:20,0
27,一级评论,up主,up主,粤来粤好99,43803931,并不是化疗都要用picc或输液港的。,2021-12-22 12:33,2
27,二级评论,粤来粤好99,43803931,MMS2004,383701854,对的，可以在脖子打管，也是细长的管子打进身体里。优点是不用维护，每次化疗出院就拔管。缺点是每次化疗要重新打，而且不同的人帮你打痛感差别很大。,2021-12-23 23:57,0
27,二级评论,粤来粤好99,43803931,粤来粤好99,43803931,我想表达的意思是，大可不必过于恐惧治疗手段本身和副作用。身为一个t3n1患者家属，之前对于放化疗有深深的恐惧。但是实际治疗过程中，没有白细胞低，没有掉头发呕吐体重减轻等症状，也没有进手术室安输液港。我家这位接近七十岁的患者，放疗后期都是自驾单程一个多小时去医院。,2021-12-24 18:34,0
28,一级评论,up主,up主,归大地,32067382,里面的止血纱布那块如果不流血的话要拿掉，如果有止血纱布在里面需要两天换一次止血纱布,2021-12-22 08:37,0
28,二级评论,归大地,32067382,明天的木木啊,12173684,拿掉啦,2021-12-22 09:00,0
29,一级评论,up主,up主,贫道幺蛾子,365046823,加油，祝你早日康复！,2021-12-22 07:30,0
29,二级评论,贫道幺蛾子,365046823,明天的木木啊,12173684,谢谢(｀・ω・´),2021-12-22 08:19,0
30,一级评论,up主,up主,御坂17787号,96241780,加油! 看着好心疼,2021-12-22 03:33,0
30,二级评论,御坂17787号,96241780,明天的木木啊,12173684,会加油哒,2021-12-22 06:03,0
31,一级评论,up主,up主,五行缺木的朱森森,97165007,姐妹加油呀  你好可爱,2021-12-22 00:45,0
31,二级评论,五行缺木的朱森森,97165007,明天的木木啊,12173684,,2021-12-22 06:03,0
32,一级评论,up主,up主,韩舒亦,2221415,两个币，姑娘早日康复呀！,2021-12-21 19:58,0
32,二级评论,韩舒亦,2221415,明天的木木啊,12173684,谢谢,2021-12-21 22:17,0
33,一级评论,up主,up主,性别男生,66150981,别用它,2021-12-21 13:14,0
34,一级评论,up主,up主,性别男生,66150981,姐姐 化疗药是存在争议的,2021-12-21 13:14,0
34,二级评论,性别男生,66150981,lff梁非凡,21487930,你是想说念佛治病是吧 ,2021-12-21 19:20,2
34,二级评论,性别男生,66150981,台州汤米谢尔比,33880243,不用等死啊。化疗是确定有效的,2021-12-22 04:21,0
34,二级评论,性别男生,66150981,好月明松,15389014,所以？？？等自愈吗,2021-12-24 14:56,0
34,二级评论,性别男生,66150981,性别男生,66150981,回复 @好月明松 :对 自愈 人体有治愈功能,2021-12-24 20:02,0
35,一级评论,up主,up主,勇者y6,99509208,加油,2021-12-21 10:20,0
36,一级评论,up主,up主,一名不明真相的瓜农,388555837,呜呜呜呜呜你好坚强可是我觉得那个picc看起来好痛呜呜呜呜呜你要快点好起来,2021-12-21 02:31,3
36,二级评论,一名不明真相的瓜农,388555837,明天的木木啊,12173684,就是置管的时候痛一下，现在都感觉不到痛的,2021-12-21 05:00,1
37,一级评论,up主,up主,wfyNvv,478358628,加油,2021-12-20 22:55,0
38,一级评论,up主,up主,wfyNvv,478358628,早日康复！,2021-12-20 22:56,1
39,一级评论,up主,up主,小秋小白,392354543,给你2个币,2021-12-20 17:34,1
39,二级评论,小秋小白,392354543,明天的木木啊,12173684,十分感谢,2021-12-20 18:23,0
40,一级评论,up主,up主,xia夏夏夏123,1703902097,加油！小姐姐,2021-12-20 13:22,0
41,一级评论,up主,up主,濩啾啾,22157957,加油呀小姐姐！以后还会有一些相关的科普嘛？因为我一个人很好的亲戚也在化疗，想多了解一下，最近天冷要注意身体鸭,2021-12-20 12:56,0
41,二级评论,濩啾啾,22157957,明天的木木啊,12173684,会哒,2021-12-23 18:55,0
42,一级评论,up主,up主,安期生丶,78004783,我是在锁骨上,2021-12-20 12:25,0
42,二级评论,安期生丶,78004783,明天的木木啊,12173684,可能我体重问题，会很长,2021-12-23 18:56,0
42,二级评论,安期生丶,78004783,安期生丶,78004783,回复 @明天的木木啊 :我是做全麻手术插的picc，那医生还说的很恐怖，一堆禁忌症，多难多难，后来我自己去看了视频吓死了，然后给我做医生就很年轻随便插了二十分钟就好了也不会难受,2021-12-23 19:23,0
42,二级评论,安期生丶,78004783,明天的木木啊,12173684,回复 @安期生丶 :全麻吗？！我做的都是局麻呀,2021-12-23 19:52,0
42,二级评论,安期生丶,78004783,安期生丶,78004783,回复 @明天的木木啊 :插picc是局麻，我表述不清楚，全麻是手术，因为我手术的位置不好怕我大出血所以插的锁骨下,2021-12-23 21:34,0
43,一级评论,up主,up主,善变の猫,31323594,希望小姐姐能早日战胜病魔,2021-12-19 23:50,0
43,二级评论,善变の猫,31323594,明天的木木啊,12173684,谢谢,2021-12-20 06:25,0
44,一级评论,up主,up主,LZY阿噜,98791757,加油啊，祝你健康,2021-12-19 22:59,0
44,二级评论,LZY阿噜,98791757,明天的木木啊,12173684,谢谢,2021-12-20 06:25,0
45,一级评论,up主,up主,小栾今天去学习了吗,35538084,加油加油！！！,2021-12-19 20:34,0
45,二级评论,小栾今天去学习了吗,35538084,明天的木木啊,12173684,好的呀！,2021-12-20 06:26,0
46,一级评论,up主,up主,自由早行人,367421560,加油！！！gogogo,2021-12-19 18:30,0
46,二级评论,自由早行人,367421560,明天的木木啊,12173684,gogogo！,2021-12-19 18:59,0
47,一级评论,up主,up主,L霖霖祺,39873716,加油＾０＾~,2021-12-19 15:44,1
48,一级评论,up主,up主,晒晒月亮吹吹风,299338783,好奇发问，一直插着这个输液管，平时日常生活会感到疼吗说真的我之前缺乏常识，一直以为化疗像做ct那样，把人放在机器底下，搞一些射线什么的,2021-12-18 22:58,0
48,二级评论,晒晒月亮吹吹风,299338783,祥雪84,229734968,化疗就是挂水。埋静脉导管和留置针一样，护理不好，会很疼的,2021-12-19 01:05,0
48,二级评论,晒晒月亮吹吹风,299338783,明天的木木啊,12173684,射线应该是放疗，这个管平时不太有明显的感觉，就是洗澡很不方便,2021-12-19 18:58,0
49,一级评论,up主,up主,eulertz,87832106,怎么这么胖了,2021-12-18 14:20,0
49,二级评论,eulertz,87832106,明天的木木啊,12173684,哈哈哈哈哈哈哈，因为手术之后一直在休养，也没有锻炼了,2021-12-18 15:50,0
50,一级评论,up主,up主,kinst,59555763,㊗️早日康复,2021-12-18 12:36,0
50,二级评论,kinst,59555763,明天的木木啊,12173684,嗯嗯(=・ω・=),2021-12-18 13:28,0
51,一级评论,up主,up主,陶瓷呲呲,321502871,加油！,2021-12-17 23:43,0
52,一级评论,up主,up主,陶瓷呲呲,321502871,早日康复呀！,2021-12-17 23:43,0
52,二级评论,陶瓷呲呲,321502871,明天的木木啊,12173684,好的呀,2021-12-18 05:33,0
53,一级评论,up主,up主,linghu629,687802741,加油啊！,2021-12-17 22:47,0
54,一级评论,up主,up主,逆战2023年,16263815,我比你幸运我可以吃靶向药，这个让我像正常人一样过了5年多。妹妹祝好运，加油,2021-12-17 22:12,0
54,二级评论,逆战2023年,16263815,明天的木木啊,12173684,给我关一扇一定会开一扇窗，无论以后怎样，现在要积极过好每一天,2021-12-18 05:36,0
55,一级评论,up主,up主,或君嫁我哟wwwww,21794924,晚上好,2021-12-17 20:44,0
55,二级评论,或君嫁我哟wwwww,21794924,明天的木木啊,12173684,晚上好,2021-12-17 20:51,0
56,一级评论,up主,up主,KK13101988,231733526,姐姐加油！！！,2021-12-17 20:14,0
56,二级评论,KK13101988,231733526,明天的木木啊,12173684,好的呀,2021-12-17 20:24,0
57,一级评论,up主,up主,糯米滚圆又圆啊,33815833,加油宝宝，你是最棒哒～,2021-12-17 18:02,0
57,二级评论,糯米滚圆又圆啊,33815833,明天的木木啊,12173684,最棒哒！,2021-12-17 20:16,0
58,一级评论,up主,up主,雾島看日出,1006329181,加油,2021-12-17 17:14,0
59,一级评论,up主,up主,强大苏,550547459,加油(ง •̀_•́)ง,2022-12-30 21:17,0
60,一级评论,up主,up主,35496392105_bili,350596759,加油～看到这感觉太疼了，加油加油,2022-11-20 21:17,0
60,二级评论,35496392105_bili,350596759,明天的木木啊,12173684,,2022-11-20 22:43,0
61,一级评论,up主,up主,粉狗_,474309569,加油！宝儿,2022-07-29 01:08,0
62,一级评论,up主,up主,想在雨天荡秋千,246527941,,2022-04-15 22:50,0
63,一级评论,up主,up主,墨城殇,17540378,哎，我刚确诊nkt淋巴瘤，明天开始穿管化疗了,2022-04-13 20:41,1
63,二级评论,墨城殇,17540378,明天的木木啊,12173684,那我们一起加油吧！,2022-04-13 20:59,1
63,二级评论,墨城殇,17540378,想在雨天荡秋千,246527941,,2022-04-15 22:50,0
64,一级评论,up主,up主,夏目有人上,190063656,我爸被怀疑PICC那感染导致发烧就拔了，，现在化疗用的普通输液放松，应该没问题吧,2022-03-02 20:28,0
64,二级评论,夏目有人上,190063656,明天的木木啊,12173684,也有采用留置针输液的,2022-03-03 00:45,0
64,二级评论,夏目有人上,190063656,夏目有人上,190063656,回复 @明天的木木啊 :嗯，谢谢,2022-03-03 11:23,0
65,一级评论,up主,up主,让全世界听橘子海,46413989,希望up 早日康复 送你一个冰墩墩,2022-02-11 21:41,1
65,二级评论,让全世界听橘子海,46413989,明天的木木啊,12173684,收到你的冰墩墩啦,2022-02-11 22:33,1
66,一级评论,up主,up主,指如削葱根,18495855,Up加油，会好起来的。我妈宫颈癌2期，今天做的切除手术，提前了解下化疗。,2022-01-26 22:46,0
66,二级评论,指如削葱根,18495855,明天的木木啊,12173684,二期算早期啦，不要怕好好治疗,2022-01-27 06:23,0
