编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
15,一级评论,up主,up主,桂花糕huauh,321590732,？爷爷炒菜不是加油了吗，咋一堆人一直提醒爷爷加油,2022-08-27 00:40,3
15,二级评论,桂花糕huauh,321590732,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-27 06:48,0
16,一级评论,up主,up主,陈平安的伴郎,1457787018,非常喜欢吃西兰花，但是不太喜欢吃梗，所以一般会把梗切掉大部分，这样子就会非常甜，加个沙拉酱也非常好吃,2022-08-26 22:16,3
16,二级评论,陈平安的伴郎,1457787018,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 06:40,1
17,一级评论,up主,up主,春樱___,5542525,爷爷的眼睛很有神，说话也很沉稳，身体一定是在好转中的,2022-08-26 21:53,3
17,二级评论,春樱___,5542525,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 06:41,0
18,一级评论,up主,up主,pandadaooo,375734075,菜谱又丰富啦,2022-08-26 18:39,3
18,二级评论,pandadaooo,375734075,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:19,0
19,一级评论,up主,up主,BVEZOPE,89326996,看食材就开始流口水了,2022-08-26 18:35,3
19,二级评论,BVEZOPE,89326996,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-26 18:35,1
20,一级评论,up主,up主,网名不会取-,383502974,来投币力，爷爷,2022-08-28 22:59,2
20,二级评论,网名不会取-,383502974,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-29 06:03,0
21,一级评论,up主,up主,远芳_晴翠,493205411,我喜欢吃虾仁,2022-08-28 19:08,2
21,二级评论,远芳_晴翠,493205411,景秀前程老周抗癌中,1403656459,哈哈,2022-08-28 19:09,0
22,一级评论,up主,up主,GianmarcoTamberi,504141179,看着好好吃呀，我在方舱医院啥也没有我出去后一定要试试这道菜,2022-08-27 17:30,2
22,二级评论,GianmarcoTamberi,504141179,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 17:37,0
23,一级评论,up主,up主,morning_Pearl,88946903,爷爷我要开学了以后不能天天给你投币了,2022-08-27 16:02,2
23,二级评论,morning_Pearl,88946903,景秀前程老周抗癌中,1403656459,学业为重，谢谢你！,2022-08-27 16:23,1
24,一级评论,up主,up主,宇你有道,1046695057,加油加油加油加油,2022-08-26 23:53,2
24,二级评论,宇你有道,1046695057,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:50,0
25,一级评论,up主,up主,骑着碰碰车去流浪,686730251,好棒,2022-08-26 23:17,2
26,一级评论,up主,up主,绞纱全世界刻不容缓,1815469754,爷爷加油,2022-08-26 23:16,2
26,二级评论,绞纱全世界刻不容缓,1815469754,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:40,0
27,一级评论,up主,up主,myraup,14381577,爷爷做金刚功 长寿功吧 治病,2022-08-26 23:13,2
27,二级评论,myraup,14381577,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:45,0
28,一级评论,up主,up主,灼灼桃花仙呢,330217524,爷爷加油啊！,2022-08-26 23:12,2
29,一级评论,up主,up主,醉里看花影,230179729,每次都是我爱吃的 ,2022-08-26 23:10,2
29,二级评论,醉里看花影,230179729,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:45,0
30,一级评论,up主,up主,乞丐国外交员,1026615705,香香,2022-08-26 23:04,2
30,二级评论,乞丐国外交员,1026615705,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:43,0
31,一级评论,up主,up主,恰饭高,3461565405727259,爷爷加油做的饭看起来很棒,2022-08-26 22:55,2
32,一级评论,up主,up主,一个妙妙人,1419766777,爷爷加油啊，心态好对身体也好的,2022-08-26 22:40,2
32,二级评论,一个妙妙人,1419766777,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:40,0
33,一级评论,up主,up主,BlueMoutain1987,399376854,来了,2022-08-26 22:10,2
33,二级评论,BlueMoutain1987,399376854,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:48,0
34,一级评论,up主,up主,safa_ss,10339321,爷爷的厨艺比我还太多啦！做的饭菜一定很香,2022-08-26 22:03,2
34,二级评论,safa_ss,10339321,景秀前程老周抗癌中,1403656459,哈哈谢谢你！,2022-08-27 06:41,1
35,一级评论,up主,up主,晓城岚,1129409943,爷爷加油！一定会好起来的！,2022-08-26 21:58,2
35,二级评论,晓城岚,1129409943,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:45,0
36,一级评论,up主,up主,汪小弟mm,442803424,为什么我的输入法直接打出来是西蓝花，哈哈。西蓝花要不要焯一下水再炒呀，感觉不容易熟,2022-08-26 21:48,2
36,二级评论,汪小弟mm,442803424,景秀前程老周抗癌中,1403656459,不用的吧，生的都可以吃啊,2022-08-27 06:41,0
37,一级评论,up主,up主,崽崽我是火锅啊,12653557,来啦来啦爷爷加油,2022-08-26 21:44,2
37,二级评论,崽崽我是火锅啊,12653557,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 21:45,0
38,一级评论,up主,up主,POLToby,88853639,超爱西兰花啊，爷爷加油,2022-08-26 19:19,2
38,二级评论,POLToby,88853639,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:21,1
39,一级评论,up主,up主,中華さん_种花君,1161968836,，我币用完了，下周再给爷爷投吧,2022-08-26 19:14,2
39,二级评论,中華さん_种花君,1161968836,张义TGIF,1330450968,靓仔，这币我先替你投了，以后记得补上两枚,2022-08-26 23:39,0
39,二级评论,中華さん_种花君,1161968836,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:20,0
40,一级评论,up主,up主,路仌丙,431465953,还行，来得算及时,2022-08-26 18:49,2
40,二级评论,路仌丙,431465953,景秀前程老周抗癌中,1403656459,哈哈谢谢你！,2022-08-26 18:50,0
41,一级评论,up主,up主,淼淼喵喵_miao,379295336,爷爷加油，一定要坚持下去,2022-08-26 18:38,2
41,二级评论,淼淼喵喵_miao,379295336,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 18:39,0
42,一级评论,up主,up主,好se阿龙,1630575797,加油,2022-08-29 14:08,1
42,二级评论,好se阿龙,1630575797,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-29 15:07,0
43,一级评论,up主,up主,羊嚼不动草鱼,5848296,爷爷爷爷爷爷爷爷～晚上好，明天不熬夜了,2022-08-29 00:55,1
43,二级评论,羊嚼不动草鱼,5848296,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-29 06:03,0
44,一级评论,up主,up主,Alan屑无人,508865766,加油，康复了记得继续更新哦,2022-08-28 09:28,1
44,二级评论,Alan屑无人,508865766,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-28 09:32,0
45,一级评论,up主,up主,霄瑜,488380425,爷爷加油！,2022-08-27 19:04,1
45,二级评论,霄瑜,488380425,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 21:34,1
46,一级评论,up主,up主,叫我高仿,2052917961,爷爷加油我把三连给你,2022-08-27 17:34,1
46,二级评论,叫我高仿,2052917961,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 17:37,0
47,一级评论,up主,up主,海棠枪,17721747,爷爷我来啦，要加油！刚大学毕业，正在忙碌备考、面试，有时候赶不上看直播，但看爷爷气色越来越好啦！,2022-08-27 16:45,1
47,二级评论,海棠枪,17721747,景秀前程老周抗癌中,1403656459,恭喜你，谢谢你！,2022-08-27 16:49,0
48,一级评论,up主,up主,无名氏之一的我,490350409,来了,2022-08-27 11:43,1
48,二级评论,无名氏之一的我,490350409,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 11:51,1
49,一级评论,up主,up主,零默上校,1524229914,本来不怎么爱吃西蓝花，但是和虾仁一炒，鲜香味一下就出来了，好吃,2022-08-27 07:35,1
49,二级评论,零默上校,1524229914,景秀前程老周抗癌中,1403656459,哈哈谢谢你！,2022-08-27 07:46,0
50,一级评论,up主,up主,好好学习的茉里,427172914,爷爷加油呜呜呜呜，一直支持你！！！,2022-08-26 23:57,1
50,二级评论,好好学习的茉里,427172914,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:40,0
51,一级评论,up主,up主,映我,1599395409,加油💪会好起来！,2022-08-26 23:41,1
51,二级评论,映我,1599395409,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
52,一级评论,up主,up主,EGtarik,17796951,爷爷加油！,2022-08-26 23:36,1
52,二级评论,EGtarik,17796951,景秀前程老周抗癌中,1403656459,谢你了,2022-08-27 06:42,0
53,一级评论,up主,up主,林靖華,483639117,加油加油,2022-08-26 22:22,1
53,二级评论,林靖華,483639117,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:40,0
54,一级评论,up主,up主,小岛壳,558736774,爷爷我来啦！！,2022-08-26 22:20,1
54,二级评论,小岛壳,558736774,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:49,0
55,一级评论,up主,up主,愛笑的阿飞,371087570,完了，看完爷爷的视频又饿了,2022-08-26 21:48,1
55,二级评论,愛笑的阿飞,371087570,景秀前程老周抗癌中,1403656459,哈哈，谢谢你（⌒▽⌒）（⌒▽⌒）,2022-08-26 21:48,1
56,一级评论,up主,up主,壹捌_xjxw,1234515319,爷爷晚上好直播辛苦啦,2022-08-26 20:08,1
56,二级评论,壹捌_xjxw,1234515319,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:20,0
57,一级评论,up主,up主,哪里都是你-阿伦,454121939,,2022-08-26 19:21,1
57,二级评论,哪里都是你-阿伦,454121939,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:20,1
58,一级评论,up主,up主,FLYONT_,1464123176,爷爷加油，今天的饭看起来也好好吃，正好在犹豫吃什么，回家就尝试爷爷的新菜,2022-08-26 19:19,1
58,二级评论,FLYONT_,1464123176,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:20,0
59,一级评论,up主,up主,银河看星星,520263394,我饿了,2022-08-26 19:08,1
59,二级评论,银河看星星,520263394,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:20,0
60,一级评论,up主,up主,年少无知小白狼,481040835,晚上好爷爷，加油！祝早日康复！,2022-08-26 18:55,1
60,二级评论,年少无知小白狼,481040835,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-26 21:21,0
61,一级评论,up主,up主,南吕红染,484795914,爷爷加油！,2022-08-26 18:39,1
61,二级评论,南吕红染,484795914,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-26 18:39,0
62,一级评论,up主,up主,鳗鱼不要蜜汁,37830350,我超级喜欢吃西蓝花，哈哈哈哈哈哈哈哈我妈妈也会给我做这道菜，在视频中看到爷爷的这道菜，真的感觉很亲切,2022-09-16 20:25,0
62,二级评论,鳗鱼不要蜜汁,37830350,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-16 21:09,0
63,一级评论,up主,up主,八十五岁返租仙人,494479826,已投币,2022-09-11 12:30,0
63,二级评论,八十五岁返租仙人,494479826,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-11 12:31,0
64,一级评论,up主,up主,随便取个名字好了恰,496927759,加油,2022-09-10 11:30,0
64,二级评论,随便取个名字好了恰,496927759,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-10 11:36,0
65,一级评论,up主,up主,Forty_Lion,437714334,爷爷加油,2022-09-08 11:48,0
65,二级评论,Forty_Lion,437714334,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-08 12:10,0
66,一级评论,up主,up主,腹肌养成计划s,379494617,加油爷爷，向每一位对抗生活的战士致敬！,2022-09-07 13:51,0
67,一级评论,up主,up主,天生傲骨豈能輸,391293016,一定要加油呀！,2022-09-07 12:38,0
67,二级评论,天生傲骨豈能輸,391293016,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-07 13:56,0
68,一级评论,up主,up主,孩子想上六级,355299484,三连了！坚持学习！爷爷加油！,2022-09-06 20:58,0
68,二级评论,孩子想上六级,355299484,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-07 06:07,0
69,一级评论,up主,up主,阳光开朗星星鹅,1526136588,感觉爷爷做的每个菜都清淡又好吃，支持爷爷,2022-09-05 10:58,0
69,二级评论,阳光开朗星星鹅,1526136588,景秀前程老周抗癌中,1403656459,谢谢你！,2022-09-05 11:03,0
70,一级评论,up主,up主,-逸然-,483020428,爷爷加油！,2022-09-03 16:29,0
70,二级评论,-逸然-,483020428,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-03 16:45,1
71,一级评论,up主,up主,哎嘿でなんだよ,1919677130,西兰花还用焯水吗?,2022-09-02 23:17,0
71,二级评论,哎嘿でなんだよ,1919677130,景秀前程老周抗癌中,1403656459,一般不用焯水,2022-09-03 06:13,0
72,一级评论,up主,up主,继续减肥啊,1400707910,加油,2022-09-01 06:27,0
72,二级评论,继续减肥啊,1400707910,景秀前程老周抗癌中,1403656459,谢谢你,2022-09-01 06:43,0
73,一级评论,up主,up主,ChenYi7417,1533588526,看到虾仁就觉得好吃😋,2022-08-31 19:26,0
74,一级评论,up主,up主,ChenYi7417,1533588526,看到虾仁就觉得好吃😋,2022-08-31 19:25,0
74,二级评论,ChenYi7417,1533588526,景秀前程老周抗癌中,1403656459,谢谢,2022-08-31 21:17,0
75,一级评论,up主,up主,暗涌沉浮,11412365,爷爷加油！,2022-08-31 09:18,0
75,二级评论,暗涌沉浮,11412365,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-31 09:21,0
76,一级评论,up主,up主,是氩弧啊,361370247,爷爷每一条评论都有认真回复 祝爷爷天天开心 身体健健康康,2022-08-30 15:35,0
76,二级评论,是氩弧啊,361370247,景秀前程老周抗癌中,1403656459,谢谢你（⌒▽⌒）（⌒▽⌒）,2022-08-30 15:54,0
77,一级评论,up主,up主,童心未泯黑暗料理王,674618226,投币了！加油爷爷,2022-08-29 21:56,0
77,二级评论,童心未泯黑暗料理王,674618226,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-30 05:58,0
78,一级评论,up主,up主,小接Q,5223118,如果相信中医可以联系一下西安中医薛应中,2022-08-29 21:55,0
78,二级评论,小接Q,5223118,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-30 05:58,0
79,一级评论,up主,up主,whydontwe,473021477,爷爷太能干啦，祝爷爷身体健康！,2022-08-28 14:42,0
79,二级评论,whydontwe,473021477,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-28 14:44,0
80,一级评论,up主,up主,听凭巴巴托斯引导,494594747,,2022-08-27 18:27,0
80,二级评论,听凭巴巴托斯引导,494594747,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 18:33,0
81,一级评论,up主,up主,KIDIKJAD,1147255083,爷爷加油！三连啦,2022-08-27 14:11,0
81,二级评论,KIDIKJAD,1147255083,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 14:22,0
82,一级评论,up主,up主,蛙哥的芸豆角,329475834,我第一次炒这个菜的时候先放的木耳，那时候第一次见到了炸厨房,2022-08-27 14:08,0
82,二级评论,蛙哥的芸豆角,329475834,景秀前程老周抗癌中,1403656459,,2022-08-27 14:22,0
83,一级评论,up主,up主,来日方长的柠檬树,249154460,看着好想吃,2022-08-27 14:02,0
83,二级评论,来日方长的柠檬树,249154460,来日方长的柠檬树,249154460,回复 @景秀前程老周抗癌中 :不客气哒,2022-08-27 15:47,0
83,二级评论,来日方长的柠檬树,249154460,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 14:05,0
84,一级评论,up主,up主,怎莫又睡着了,13305305,看起来就好吃  爷爷加油！,2022-08-27 13:22,0
84,二级评论,怎莫又睡着了,13305305,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 13:24,0
85,一级评论,up主,up主,渣渣黄zzh,438356135,加油加油加油继续加油！！！,2022-08-27 11:28,0
85,二级评论,渣渣黄zzh,438356135,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 11:37,0
86,一级评论,up主,up主,x飞毛腿-,2122523405,爷爷我来了,2022-08-27 11:17,0
86,二级评论,x飞毛腿-,2122523405,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 11:21,0
87,一级评论,up主,up主,不考上西安交大不改名,402713621,爷爷加油,2022-08-27 11:17,0
87,二级评论,不考上西安交大不改名,402713621,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 11:21,0
88,一级评论,up主,up主,你亲爱的海棠吖,701679282,能做的就是给爷爷两枚硬币。爷爷加油,2022-08-27 10:54,0
88,二级评论,你亲爱的海棠吖,701679282,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 10:56,0
89,一级评论,up主,up主,阿兹卡班在,1667778516,没有什么可以帮到您的，只能发一句加油,2022-08-27 10:43,0
89,二级评论,阿兹卡班在,1667778516,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 10:56,0
90,一级评论,up主,up主,再地域黑先把你给噶了,610861433,我们30号就开学，最近几天疯狂写作业中，饭都来不及吃。看见爷爷做的菜直接想穿过屏幕啃一口,2022-08-27 10:32,0
90,二级评论,再地域黑先把你给噶了,610861433,景秀前程老周抗癌中,1403656459,回复 @帝君除我苦茶籽 :（⌒▽⌒）（⌒▽⌒）（⌒▽⌒）（⌒▽⌒）,2022-08-27 11:21,0
90,二级评论,再地域黑先把你给噶了,610861433,再地域黑先把你给噶了,610861433,回复 @景秀前程老周抗癌中 :从我嘴里把心心拿出来送给爷爷,2022-08-27 11:20,0
90,二级评论,再地域黑先把你给噶了,610861433,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-27 10:56,0
91,一级评论,up主,up主,魔法梅莉offical,147027333,好耶！我喜欢西蓝花，虾仁也喜欢,2022-08-27 09:11,0
91,二级评论,魔法梅莉offical,147027333,景秀前程老周抗癌中,1403656459,哈哈，谢谢你！,2022-08-27 10:09,1
92,一级评论,up主,up主,佳哈哈哈哈哈哈哈哈,1695665723,加油爷爷,2022-08-27 09:06,0
92,二级评论,佳哈哈哈哈哈哈哈哈,1695665723,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 10:09,0
93,一级评论,up主,up主,阿瓶bin,1430070006,"爷爷要快点好起来,加油！❤️❤️🫂",2022-08-27 08:59,0
93,二级评论,阿瓶bin,1430070006,景秀前程老周抗癌中,1403656459,谢谢你！,2022-08-27 10:09,0
94,一级评论,up主,up主,Blackrosede,343518100,加油爷爷！,2022-08-27 08:08,0
94,二级评论,Blackrosede,343518100,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 08:12,0
95,一级评论,up主,up主,琳陵,1377868130,好丰富,2022-08-27 07:55,0
95,二级评论,琳陵,1377868130,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 07:56,0
96,一级评论,up主,up主,夕宝喷墨中,457222151,爷爷加油今天开学了，不能常看爷爷的视频了,2022-08-27 07:44,0
96,二级评论,夕宝喷墨中,457222151,景秀前程老周抗癌中,1403656459,学业为重，谢谢你！,2022-08-27 07:46,1
97,一级评论,up主,up主,不在乎何曾-,1425174205,爷爷加油！,2022-08-27 07:06,0
97,二级评论,不在乎何曾-,1425174205,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 07:46,0
98,一级评论,up主,up主,MingH_,384108558,加油,2022-08-27 05:16,0
98,二级评论,MingH_,384108558,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
99,一级评论,up主,up主,小羊不着急咩,481294747,要加油呀,2022-08-27 05:01,0
99,二级评论,小羊不着急咩,481294747,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
100,一级评论,up主,up主,些无聊事,22270516,半夜看爷爷的视频看饿啦，家常菜的味道真的太好了,2022-08-27 02:22,0
100,二级评论,些无聊事,22270516,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:45,0
101,一级评论,up主,up主,哈哈哈你猜不透我吧,550367442,爷爷加油！,2022-08-27 02:14,0
101,二级评论,哈哈哈你猜不透我吧,550367442,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
102,一级评论,up主,up主,哈哈哈你猜不透我吧,550367442,三连了,2022-08-27 02:14,0
102,二级评论,哈哈哈你猜不透我吧,550367442,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
103,一级评论,up主,up主,小婷砸i,312694464,看着好香啊好想吃,2022-08-27 02:16,0
103,二级评论,小婷砸i,312694464,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
104,一级评论,up主,up主,梵高的左耳88,449728628,叔一切安好,2022-08-27 02:00,0
104,二级评论,梵高的左耳88,449728628,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
105,一级评论,up主,up主,luvAu4ever,382033395,爷爷加油，开学以后我得住校，不能常来光顾您的视频了。但是我会尽量把每次的都补上，再给您点赞的，祝爷爷身体健康。,2022-08-27 01:36,0
105,二级评论,luvAu4ever,382033395,景秀前程老周抗癌中,1403656459,学业为重，谢谢你！,2022-08-27 06:43,0
106,一级评论,up主,up主,放出鸟笼才是爱,320841263,支持,2022-08-27 01:29,0
106,二级评论,放出鸟笼才是爱,320841263,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
107,一级评论,up主,up主,是阿忠呐,1263379362,您好，建议把不知道从什么时候开始、不知道为什么要吃、不知道为什么每天都会吃到、不知道吃了多少年的无孔不入的生姜和大蒜籽先戒掉试一试，虽然年龄偏大自愈力大幅下降，但是可能对身体的自愈力会有一丁点改善的。,2022-08-27 01:18,0
107,二级评论,是阿忠呐,1263379362,景秀前程老周抗癌中,1403656459,呵呵，谢谢你！,2022-08-27 06:45,0
108,一级评论,up主,up主,团霸小逗比,19118474,爷爷我来啦！,2022-08-27 01:09,0
108,二级评论,团霸小逗比,19118474,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
109,一级评论,up主,up主,甄開辛,509876317,加油💪我唯一能做的就是投币点赞了！,2022-08-27 01:02,0
109,二级评论,甄開辛,509876317,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:45,0
110,一级评论,up主,up主,神奇的狗官,549625954,爷爷记得日更啊！一天看不见您就难受！,2022-08-27 00:59,0
110,二级评论,神奇的狗官,549625954,景秀前程老周抗癌中,1403656459,哈哈谢谢你！,2022-08-27 06:43,0
111,一级评论,up主,up主,阿止止止丶,331378520,耶！虾仁～,2022-08-27 00:54,0
111,二级评论,阿止止止丶,331378520,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
112,一级评论,up主,up主,林檎114514,1129231738,爷爷加油,2022-08-27 00:47,0
112,二级评论,林檎114514,1129231738,景秀前程老周抗癌中,1403656459,谢谢你,2022-08-27 06:42,0
113,一级评论,up主,up主,可以吃的小喜,1963928506,爷爷加油😊,2022-08-27 00:42,0
